Query; PlannerTime_1; ExecutionTime_1; SharedHits_1; SharedReads_1; PageFaults_1                     ; PlannerTime_2; ExecutionTime_2; SharedHits_2; SharedReads_2; PageFaults_2                     ; PlannerTime_3; ExecutionTime_3; SharedHits_3; SharedReads_3; PageFaults_3                     ; PlannerTime_4; ExecutionTime_4; SharedHits_4; SharedReads_4; PageFaults_4                     ; PlannerTime_5; ExecutionTime_5; SharedHits_5; SharedReads_5; PageFaults_5                     ; PlannerTime_6; ExecutionTime_6; SharedHits_6; SharedReads_6; PageFaults_6                     ; PlannerTime_7; ExecutionTime_7; SharedHits_7; SharedReads_7; PageFaults_7                     ; PlannerTime_8; ExecutionTime_8; SharedHits_8; SharedReads_8; PageFaults_8                     ; PlannerTime_9; ExecutionTime_9; SharedHits_9; SharedReads_9; PageFaults_9                     ; PlannerTime_10; ExecutionTime_10; SharedHits_10; SharedReads_10; PageFaults_10
21b.sql; 248,622; 696,191; 892718; 0; 49686; 4791,99; 680,532; 887814; 0; 44001; 3715,342; 697,925; 890147; 0; 28066; 4949,68; 684,022; 889852; 0; 44358; 3140,367; 699,825; 903804; 0; 49410; 3956,784; 595,464; 886479; 0; 48576; 396,116; 712,628; 886187; 804; 46595; 3314,946; 667,494; 907028; 0; 51378; 166,709; 707,575; 902117; 0; 47529; 238,725; 675,77; 894359; 0; 45194
21c.sql; 668,922; 861,528; 981244; 23; 51851; 501,338; 759,17; 988754; 23; 68558; 3820,486; 874,09; 981736; 25; 75604; 2727,569; 834,495; 980078; 23; 53293; 157,043; 780,519; 985662; 23; 67183; 2248,532; 888,819; 992474; 1098; 45272; 1237,033; 896,445; 980861; 767; 69503; 1237,589; 873,537; 984707; 23; 72983; 1324,308; 805,749; 979192; 29; 69278; 250,231; 746,234; 986463; 23; 66141
22a.sql; 4914,147; 488,932; 1013348; 3530; 143646; 1056,036; 576,427; 1016551; 327; 81989; 4234,185; 479,216; 1016878; 0; 107400; 1201,346; 615,425; 1016390; 488; 110303; 2661,801; 562,419; 1016878; 0; 89675; 3415,23; 512,774; 1013651; 3227; 116567; 3527,179; 546,192; 1015676; 1202; 102000; 4369,299; 644,252; 1013268; 3610; 93013; 3692,084; 540,207; 1016877; 1; 116741; 376,135; 641,806; 1016878; 0; 141657
22b.sql; 5003,977; 414,994; 921990; 519; 95794; 3785,895; 437,192; 922069; 440; 74705; 4095,175; 410,749; 922425; 84; 84209; 202,682; 477,658; 922509; 0; 81029; 361,333; 474,698; 922509; 0; 86809; 188,208; 408,931; 922509; 0; 75696; 4626,833; 541,339; 919665; 2844; 86796; 291,813; 486,218; 922509; 0; 81072; 1808,117; 367,6; 922509; 0; 98554; 3640,037; 449,85; 922484; 25; 91164
22c.sql; 389,256; 2100,794; 1441395; 0; 101349; 4381,31; 2023,201; 1440843; 552; 139114; 203,246; 2323,486; 1441395; 0; 115701; 266,674; 2000,043; 1441395; 0; 123605; 2735,032; 2186,527; 1425395; 16000; 180713; 1685,272; 1896,796; 1438552; 2843; 120831; 4031,352; 1925,181; 1441101; 294; 128644; 4354,986; 1747,731; 1429237; 12158; 101873; 3477,889; 1817,653; 1441393; 2; 172652; 752,164; 1975,063; 1441119; 276; 135673
22d.sql; 1586,261; 1024,696; 1316423; 0; 236755; 1246,176; 1046,644; 1311616; 4807; 211699; 4115,774; 1209,16; 1252411; 64012; 212243; 4174,536; 930,652; 1270694; 45729; 211204; 4113,601; 898,706; 1316420; 3; 252276; 2915,651; 847,043; 1310390; 6033; 237011; 4016,158; 826,647; 1316423; 0; 148898; 3212,058; 862,93; 1303703; 12720; 234753; 315,549; 939,287; 1316423; 0; 153334; 3474,857; 1002,195; 1306227; 10196; 240208
23a.sql; 4090,979; 766,013; 717092; 283; 99142; 2180,74; 804,008; 717374; 0; 151900; 191,843; 892,956; 717375; 0; 149849; 3182,161; 806,395; 717050; 325; 157306; 3690,967; 796,073; 717375; 0; 137002; 1845,963; 793,752; 717278; 97; 157409; 183,93; 879,424; 717375; 0; 135768; 3138,02; 837,933; 717375; 0; 118606; 256,696; 831,718; 717375; 0; 144708; 4380,969; 860,775; 703446; 13929; 155090
23b.sql; 1520,283; 46,662; 29381; 0; 18307; 3536,652; 43,925; 29381; 0; 21573; 305,402; 50,886; 29381; 0; 21890; 2535,491; 41,782; 28882; 499; 20419; 225,508; 50,566; 29381; 0; 20086; 233,133; 48,337; 29381; 0; 20752; 3447,778; 53,711; 29378; 3; 20739; 3881,054; 38,581; 29311; 70; 18717; 199,036; 53,678; 29381; 0; 20167; 4076,518; 43,466; 28909; 472; 19760
23c.sql; 1063,02; 514,054; 192413; 0; 150349; 195,752; 520,488; 192413; 0; 158082; 196,821; 559,069; 192405; 0; 198785; 1286,712; 627,91; 185760; 6645; 224368; 2432,454; 570,007; 182019; 10394; 275460; 523,008; 509,51; 192413; 0; 168323; 3691,444; 476,734; 192348; 65; 190919; 3648,588; 558,654; 170886; 21527; 144965; 3591,97; 454,425; 192251; 162; 253536; 2634,15; 506,149; 191005; 1400; 145542
24a.sql; 10076,513; 4619,279; 3442824; 53973; 89136; 10630,097; 4856,923; 3442306; 54491; 98220; 11773,462; 4941,447; 3442595; 54202; 87257; 10374,384; 4592,28; 3442957; 53840; 94704; 9796,108; 5285,522; 3443054; 53743; 97505; 8779,172; 4869,166; 3457997; 38800; 86050; 10297,402; 4831,142; 3443712; 53085; 108356; 10261,469; 4878,573; 3443059; 53738; 85548; 10207,562; 5001,291; 3442723; 54074; 92535; 10516,121; 4673,67; 3442948; 53849; 87750
