Query; PlannerTime_1; ExecutionTime_1; SharedHits_1; SharedReads_1; PageFaults_1                     ; PlannerTime_2; ExecutionTime_2; SharedHits_2; SharedReads_2; PageFaults_2                     ; PlannerTime_3; ExecutionTime_3; SharedHits_3; SharedReads_3; PageFaults_3                     ; PlannerTime_4; ExecutionTime_4; SharedHits_4; SharedReads_4; PageFaults_4                     ; PlannerTime_5; ExecutionTime_5; SharedHits_5; SharedReads_5; PageFaults_5                     ; PlannerTime_6; ExecutionTime_6; SharedHits_6; SharedReads_6; PageFaults_6                     ; PlannerTime_7; ExecutionTime_7; SharedHits_7; SharedReads_7; PageFaults_7                     ; PlannerTime_8; ExecutionTime_8; SharedHits_8; SharedReads_8; PageFaults_8                     ; PlannerTime_9; ExecutionTime_9; SharedHits_9; SharedReads_9; PageFaults_9                     ; PlannerTime_10; ExecutionTime_10; SharedHits_10; SharedReads_10; PageFaults_10
15d.sql; 31,081; 3263,793; 700501; 219653; 118309; 32,661; 3085,892; 667909; 252245; 104953; 28,207; 3548,065; 715217; 204937; 137681; 20,022; 2991,233; 673181; 246973; 85985; 31,086; 2765,26; 631087; 289067; 64304; 19,457; 2792,737; 764038; 156116; 131758; 38,889; 2723,703; 636998; 283156; 68271; 25,335; 2907,173; 626155; 293999; 70849; 26,989; 3329,398; 778065; 142089; 150788; 22,84; 2897,257; 638336; 281818; 73348
16a.sql; 27,229; 3025,181; 174682; 22728; 74404; 7,95; 1474,038; 184955; 12455; 53579; 25,219; 3034,372; 174784; 22626; 73500; 7,336; 3285,177; 172597; 24813; 76491; 10,666; 2141,284; 183641; 13769; 61399; 8,907; 279,017; 197410; 0; 43516; 13,327; 2098,341; 184259; 13151; 59740; 9,564; 261,466; 197408; 2; 41224; 10,659; 1943,583; 183244; 14166; 62841; 15,569; 1186,336; 189209; 8201; 51571
16b.sql; 12,929; 26366,184; 30634233; 45548; 115652; 9,098; 40941,543; 30517790; 161991; 168426; 12,284; 28353,081; 30600732; 79049; 132062; 9,359; 40985,036; 30539661; 140120; 115732; 11,505; 38214,664; 30556566; 123215; 130636; 10,193; 51954,947; 30456188; 223593; 241987; 11,612; 43071,48; 30525498; 154283; 158391; 9,517; 46935,59; 30494285; 185496; 172404; 15,223; 32528,194; 30575076; 104705; 118972; 9,557; 40919,756; 30526435; 153346; 111040
16c.sql; 12,943; 8726,603; 2875577; 57558; 137878; 13,252; 9658,16; 2869914; 63221; 128027; 35,886; 8715,744; 2884248; 48887; 114877; 10,855; 9839,96; 2874471; 58664; 127162; 12,076; 6758,846; 2898149; 34986; 96803; 11,23; 7859,003; 2890480; 42655; 114629; 10,656; 11296,486; 2865328; 67807; 152300; 12,821; 8398,853; 2885486; 47649; 113835; 12,866; 8526,839; 2887296; 45839; 112129; 8,25; 9639,23; 2877085; 56050; 139903
16d.sql; 12,213; 10557,8; 2205231; 73802; 142584; 8,882; 5060,645; 2251054; 27979; 92620; 9,691; 5978,98; 2243767; 35266; 95922; 10,518; 6734,334; 2239558; 39475; 103719; 10,281; 11835,946; 2198140; 80893; 161232; 10,702; 6648,648; 2238284; 40749; 106206; 10,544; 7548,824; 2234945; 44088; 116397; 30,624; 2984,818; 2268818; 10215; 64205; 9,049; 8486,566; 2228293; 50740; 116988; 7,656; 6574,967; 2242247; 36786; 109366
17f.sql; 7,708; 33187,172; 11766582; 185108; 120887; 5,265; 42951,04; 11677033; 274657; 261305; 19,297; 59916,554; 11561388; 390302; 340879; 5,327; 21671,139; 11856045; 95645; 88394; 6,862; 48865,307; 11646397; 305293; 231952; 5,916; 41732,373; 11700886; 250804; 155986; 7,031; 35287,448; 11727281; 224409; 177330; 15,365; 66251,074; 11518093; 433597; 400156; 6,193; 44048,541; 11686886; 264804; 222655; 6,124; 45871,37; 11663928; 287762; 166911
17a.sql; 5,679; 8814,94; 10837309; 21022; 79051; 7,45; 63948,857; 10447378; 410953; 398476; 9,626; 24874,063; 10691554; 166777; 172540; 8,202; 47847,287; 10572610; 285721; 165485; 8,698; 25126,018; 10730565; 127766; 96890; 14,459; 18136,6; 10755271; 103060; 97020; 6,166; 34573,6; 10665287; 193044; 106642; 41,881; 35003,623; 10635916; 222415; 158663; 5,418; 48545,612; 10527616; 330715; 290444; 24,941; 29167,294; 10655718; 202613; 189065
17b.sql; 5,693; 42339,464; 6018518; 289137; 239846; 6,737; 41567,419; 6024620; 283035; 273609; 9,9; 30115,609; 6126689; 180966; 121309; 6,118; 26871,793; 6130646; 177009; 179958; 6,126; 29390,447; 6131580; 176075; 114769; 18,177; 21024,472; 6175499; 132156; 145575; 6,335; 29371,925; 6134363; 173292; 107799; 5,927; 42247,333; 6031027; 276628; 129421; 11,365; 30087,372; 6099396; 208259; 188322; 4,981; 39235,115; 6031378; 276277; 262892
17c.sql; 5,847; 48821,875; 5693137; 338402; 296759; 7,006; 20493,416; 5919739; 111800; 104573; 9,292; 39614,845; 5777426; 254113; 227222; 4,7; 20898,889; 5916321; 115218; 113580; 7,407; 7425,315; 6015877; 15662; 78096; 5,351; 14585,777; 5960485; 71054; 87840; 5,227; 30768,511; 5840145; 191394; 182577; 5,726; 25719,631; 5855789; 175750; 168589; 5,42; 35237,153; 5806434; 225105; 115602; 5,642; 22363,665; 5882046; 149493; 156516
17d.sql; 34,056; 16126,145; 6033709; 79587; 104655; 6,246; 6058,376; 6094037; 19259; 88447; 7,143; 32595,751; 5897612; 215684; 191066; 6,627; 20565,563; 6002411; 110885; 110352; 5,092; 31344,442; 5923954; 189342; 100975; 5,305; 16528,233; 6029974; 83322; 94689; 7,106; 17214,147; 6018952; 94344; 92989; 6,084; 44361,948; 5824131; 289165; 298702; 4,914; 26382,265; 5956462; 156834; 98020; 12,333; 7205,268; 6079994; 33302; 85968
17e.sql; 5,141; 27549,093; 19348259; 113495; 116039; 5,708; 20297,588; 19399933; 61821; 93784; 5,02; 47689,512; 19198784; 262970; 284711; 14,845; 30130,782; 19321577; 140177; 112417; 6,252; 14549,972; 19442153; 19601; 79375; 6,564; 53468,578; 19154195; 307559; 347828; 7,855; 31942,292; 19315538; 146216; 123481; 5,918; 34725,332; 19279794; 181960; 207925; 5,673; 44628,989; 19214032; 247722; 192542; 6,087; 13269,258; 19427964; 33790; 91813
18a.sql; 5,173; 2109,458; 264533; 40047; 168884; 8,762; 2199,353; 262513; 42067; 171207; 18,197; 2054,085; 266015; 38565; 163091; 12,966; 1884,045; 269517; 35063; 158064; 4,898; 1983,931; 200651; 103929; 231913; 15,154; 2475,501; 198424; 106156; 245312; 6,049; 2195,145; 196983; 107597; 238429; 7,32; 2334,408; 259113; 45467; 177753; 14,656; 2298,154; 240272; 64308; 192083; 5,808; 2134,538; 202635; 101945; 226734
