Query; PlannerTime_1; ExecutionTime_1; SharedHits_1; SharedReads_1; PageFaults_1                     ; PlannerTime_2; ExecutionTime_2; SharedHits_2; SharedReads_2; PageFaults_2                     ; PlannerTime_3; ExecutionTime_3; SharedHits_3; SharedReads_3; PageFaults_3                     ; PlannerTime_4; ExecutionTime_4; SharedHits_4; SharedReads_4; PageFaults_4                     ; PlannerTime_5; ExecutionTime_5; SharedHits_5; SharedReads_5; PageFaults_5                     ; PlannerTime_6; ExecutionTime_6; SharedHits_6; SharedReads_6; PageFaults_6                     ; PlannerTime_7; ExecutionTime_7; SharedHits_7; SharedReads_7; PageFaults_7                     ; PlannerTime_8; ExecutionTime_8; SharedHits_8; SharedReads_8; PageFaults_8                     ; PlannerTime_9; ExecutionTime_9; SharedHits_9; SharedReads_9; PageFaults_9                     ; PlannerTime_10; ExecutionTime_10; SharedHits_10; SharedReads_10; PageFaults_10
10b.sql; 59,315; 5831,016; 307919; 193372; 305768; 50,753; 5474,249; 307919; 193372; 301124; 83,795; 4884,463; 307918; 193373; 272962; 90,936; 5880,761; 307919; 193372; 297715; 54,827; 5472,516; 307918; 193373; 268150; 145,601; 4973,598; 307918; 193373; 348149; 84,56; 5343,447; 307918; 193373; 366544; 98,978; 4274,368; 307919; 193372; 281021; 133,889; 5641,833; 307918; 193373; 332467; 56,803; 5384,334; 307919; 193372; 393881
10c.sql; 140,143; 6952,59; 34; 552479; 219789; 98,921; 6678,365; 34; 552479; 318667; 92,537; 6964,624; 30; 552479; 167678; 80,64; 7182,984; 30; 552479; 177626; 113,033; 6710,693; 30; 552479; 296474; 52,171; 6785,625; 30; 552479; 173878; 153,701; 6504,695; 34; 552479; 343835; 133,805; 6853,759; 30; 552479; 252067; 63,274; 6486,382; 30; 552479; 194972; 111,284; 6952,598; 34; 552479; 398207
11a.sql; 81,035; 833,441; 872344; 15630; 46847; 135,598; 830,303; 874000; 15482; 45704; 107,673; 836,701; 845713; 14976; 45867; 70,923; 830,625; 887031; 15917; 48833; 122,334; 827,981; 887749; 15919; 42242; 111,384; 800,578; 876355; 15824; 45355; 85,873; 786,593; 876112; 15503; 41103; 105,212; 907,884; 874085; 15818; 48908; 83,69; 770,24; 882396; 15630; 45776; 82,905; 830,591; 868313; 15502; 43799
11b.sql; 117,298; 840,436; 882067; 15484; 52634; 83,603; 782,129; 884689; 15765; 45996; 73,976; 802,855; 881702; 15998; 45150; 85,879; 759,269; 887864; 15450; 30403; 85,926; 809,039; 884873; 15905; 46027; 69,307; 776,746; 876397; 15469; 47364; 106,368; 849,953; 884154; 15879; 46580; 72,367; 785,811; 869778; 15611; 41467; 69,024; 767,052; 877405; 15520; 45761; 103,49; 802,425; 861483; 15298; 53010
11c.sql; 85,795; 226,298; 361694; 3938; 15899; 66,429; 228,465; 365890; 3987; 15174; 73,779; 224,062; 371421; 4064; 15240; 65,409; 248,355; 377041; 4164; 17203; 64,802; 288,09; 367649; 3998; 16085; 82,573; 225,115; 360968; 3942; 15122; 99,546; 224,237; 374729; 4115; 15751; 88,842; 222,056; 354543; 3864; 16409; 114,118; 260,228; 359753; 3927; 15779; 83,03; 245,295; 360488; 3938; 15486
11d.sql; 104,367; 225,845; 363048; 3975; 17759; 116,034; 228,393; 369159; 4046; 15492; 86,655; 217,567; 374549; 4125; 12592; 124,452; 248,144; 367138; 4002; 12097; 95,204; 249,895; 379223; 4189; 16458; 91,393; 235,817; 360310; 3950; 15900; 75,486; 226,288; 368224; 4017; 15767; 94,188; 221,165; 371549; 4104; 18054; 69,811; 228,184; 361305; 3962; 16617; 102,038; 225,126; 366953; 4004; 16635
12a.sql; 104,463; 1092,686; 896242; 153667; 177739; 98,164; 1081,5; 896242; 153667; 238589; 56,53; 897,03; 896199; 153710; 308224; 54,854; 1361,478; 896242; 153667; 138199; 69,936; 963,335; 896242; 153667; 173182; 130,43; 1607,578; 896242; 153667; 7090; 102,548; 869,935; 896242; 153667; 245741; 94,712; 903,155; 896242; 153667; 249882; 86,195; 932,284; 896242; 153667; 272741; 83,675; 866,848; 896077; 153832; 225956
12b.sql; 91,877; 145,082; 126; 13701; 29069; 103,933; 146,613; 126; 13696; 30089; 87,261; 174,982; 126; 13701; 26758; 64,748; 155,039; 126; 13701; 26188; 72,61; 146,182; 126; 13696; 21382; 84,543; 185,458; 126; 13701; 26934; 62,521; 144,347; 126; 13696; 28697; 79,853; 177,296; 126; 13696; 26189; 105,319; 145,023; 126; 13701; 26421; 72,365; 137,03; 126; 13701; 27339
12c.sql; 71,782; 2955,76; 3902869; 276151; 423026; 142,754; 2447,77; 3902869; 276151; 321744; 73,764; 2105,843; 3902869; 276151; 404244; 72,792; 2849,767; 3902869; 276151; 293912; 56,446; 1991,125; 3902869; 276151; 381219; 74,592; 3495,004; 3902265; 276755; 410793; 71,192; 2260,075; 3902869; 276151; 399537; 87,643; 2331,17; 3902869; 276151; 410739; 60,662; 2175,97; 3902869; 276151; 489933; 89,517; 2154,057; 3902869; 276151; 454809
13a.sql; 65,627; 3025,097; 6390225; 196964; 264877; 78,076; 2985,989; 6390117; 197072; 223383; 108,057; 2644,066; 6390172; 197017; 205361; 120,073; 2931,708; 6390225; 196964; 217720; 85,098; 2762,74; 6390225; 196964; 363502; 78,886; 3633,082; 6390225; 196964; 328664; 104,159; 2571,234; 6390225; 196964; 355594; 138,468; 2646,914; 6390225; 196964; 355385; 121,978; 2434,811; 6390225; 196964; 293390; 64,204; 2568,607; 6390225; 196964; 203763
